full_address,street,house_number,floors,year_built,wall_material,entrance_count,coordinates,data_source,confidence_level
"2 к-ный проезд, 2",2 к-ный проезд,2,2.0,1971.0,Кирпич,,,base,medium
"2-ая вод-я, 16а",2-ая вод-я,16а,2.0,1982.0,Панель,,,base+2gis,high
"2-я первомай-я, 2",2-я первомай-я,2,2.0,1956.0,Шлакоблок,,,base,medium
"2-я первомай-я, 3",2-я первомай-я,3,2.0,1956.0,Шлакоблок,,,base,medium
"2-я первомай-я, 5",2-я первомай-я,5,2.0,1956.0,Шлакоблок,,,base,medium
"2-я первомай-я, 7",2-я первомай-я,7,2.0,1957.0,Силикатный щит,,,base,medium
"2вод-я, 24",2вод-я,24,2.0,1980.0,Панель,,,base+2gis,high
"2первомайская, 1",2первомайская,1,2.0,1956.0,Шлакоблок,,,base,medium
"3 к-ный пр, 14",3 к-ный пр,14,2.0,1962.0,Кирпич,,,base,medium
"3 к-ный пр, 4",3 к-ный пр,4,2.0,1962.0,Кирпич,,,base,medium
"314 с.див., 7",314 с.див.,7,5.0,1976.0,Кирпич,,,base,medium
"314 с.дивиз., 64",314 с.дивиз.,64,5.0,1983.0,Панель,,,base,medium
"315 с.дивиз., 107",315 с.дивиз.,107,2.0,1950.0,Кирпич,,,base,medium
"316 с.дивиз., 138",316 с.дивиз.,138,5.0,1970.0,Кирпич,,,base,medium
"317 с.дивиз., 142",317 с.дивиз.,142,5.0,1969.0,Кирпич,,,base,medium
"318 с.дивиз., 150",318 с.дивиз.,150,5.0,1986.0,Кирпич,,,base,medium
"4 к-ный пр, 16",4 к-ный пр,16,1.0,1976.0,Кирпич,,,base,medium
"4 к-ный пр, 6",4 к-ный пр,6,2.0,1962.0,Кирпич,,,base,medium
"Абая, 102",Абая,102,5.0,1980.0,Панель,12.0,,base+2gis,high
"Абая, 120а",Абая,120а,5.0,1980.0,Панель,17.0,,base+2gis,high
"Абая, 30",Абая,30,9.0,1984.0,Панель,2.0,,base+2gis,high
"Абая, 31",Абая,31,5.0,1979.0,Панель,6.0,,base+2gis,high
"Абая, 33",Абая,33,5.0,1975.0,Панель,4.0,,base+2gis,high
"Абая, 34",Абая,34,5.0,1982.0,Панель,8.0,,base+2gis,high
"Абая, 35",Абая,35,5.0,1975.0,Панель,4.0,,base+2gis,high
"Абая, 40",Абая,40,5.0,1980.0,Панель,6.0,,base+2gis,high
"Абая, 43",Абая,43,5.0,1972.0,Панель,4.0,,base+2gis,high
"Абая, 45",Абая,45,5.0,1972.0,Панель,4.0,,base+2gis,high
"Абая, 47",Абая,47,5.0,1973.0,Панель,4.0,,base+2gis,high
"Абая, 49",Абая,49,5.0,1973.0,Панель,4.0,,base+2gis,high
"Абая, 51",Абая,51,5.0,1973.0,Панель,4.0,,base+2gis,high
"Абая, 53",Абая,53,5.0,1981.0,Панель,5.0,,base+2gis,high
"Абая, 57",Абая,57,5.0,1975.0,Кирпич,6.0,,base+2gis,high
"Абая, 59",Абая,59,9.0,1987.0,Панель,6.0,,base+2gis,high
"Абая, 61",Абая,61,5.0,1975.0,Панель,6.0,,base+2gis,high
"Абая, 62",Абая,62,5.0,1977.0,Панель,4.0,,base+2gis,high
"Абая, 63",Абая,63,5.0,1979.0,Панель,6.0,,base+2gis,high
"Абая, 65",Абая,65,5.0,1988.0,Кирпич,7.0,,base+2gis,high
"Абая, 66",Абая,66,5.0,1974.0,Панель,4.0,,base+2gis,high
"Абая, 67",Абая,67,5.0,1978.0,Панель,6.0,,base+2gis,high
"Абая, 68",Абая,68,5.0,1974.0,Панель,4.0,,base+2gis,high
"Абая, 69",Абая,69,4.0,1965.0,Панель,4.0,,base+2gis,high
"Абая, 70",Абая,70,5.0,1975.0,Панель,4.0,,base+2gis,high
"Абая, 71",Абая,71,6.0,1993.0,Кирпич,6.0,,base+2gis,high
"Абая, 81",Абая,81,9.0,1988.0,Панель,6.0,,base+2gis,high
"Абая, 82",Абая,82,5.0,1980.0,Кирпич,6.0,,base+2gis+internet_search,high
"Абая, 84",Абая,84,5.0,1974.0,Панель,6.0,,base+2gis,high
"Абая, 86",Абая,86,5.0,1973.0,Кирпич,4.0,,base+2gis,high
"Абая, 88",Абая,88,5.0,1971.0,Панель,6.0,,base+2gis,high
"Абая, 90",Абая,90,5.0,1975.0,Панель,6.0,,base+2gis,high
"Абая, 94",Абая,94,5.0,1976.0,Панель,8.0,,base+2gis,high
"Абая, 96",Абая,96,5.0,1975.0,Панель,6.0,,base+2gis,high
"Абая, 98",Абая,98,5.0,1978.0,Панель,8.0,,base+2gis,high
"Айыртауская, 1",Айыртауская,1,5.0,1971.0,Кирпич,3.0,,base+2gis,high
"Айыртауская, 10",Айыртауская,10,9.0,2007.0,Кирпич,2.0,,base+2gis+internet_search,high
"Айыртауская, 13",Айыртауская,13,5.0,1967.0,Кирпич,2.0,,base+2gis,high
"Айыртауская, 17",Айыртауская,17,9.0,2014.0,Кирпич,2.0,,base+2gis+internet_search,high
"Айыртауская, 2",Айыртауская,2,5.0,1960.0,Кирпич,,,base+2gis+internet_search+typical_data,medium
"Айыртауская, 3",Айыртауская,3,5.0,1968.0,Панель,8.0,,base+2gis,high
"Айыртауская, 4",Айыртауская,4,2.0,1958.0,Кирпич,3.0,,base+2gis,high
"Айыртауская, 5",Айыртауская,5,1.0,1965.0,Кирпич,,,base+2gis+internet_search,high
"Айыртауская, 6",Айыртауская,6,4.0,1960.0,Кирпич,,,base+2gis+internet_search,high
"Айыртауская, 7",Айыртауская,7,4.0,1960.0,Кирпич,,,base+2gis+internet_search,high
"Айыртауская, 8",Айыртауская,8,4.0,1960.0,Кирпич,2.0,,base+2gis,high
"Айыртауская, 9",Айыртауская,9,2.0,1965.0,Кирпич,,,base+2gis+internet_search,high
"Алма-атинская, 11",Алма-атинская,11,5.0,1976.0,Панель,6.0,,base+2gis,high
"Алма-атинская, 13",Алма-атинская,13,9.0,1985.0,Панель,6.0,,base+2gis,high
"Алма-атинская, 28",Алма-атинская,28,5.0,1969.0,Панель,6.0,,base+2gis,high
"Алма-атинская, 36",Алма-атинская,36,2.0,1975.0,Кирпич,,,base+2gis+internet_search,high
"Алма-атинская, 38",Алма-атинская,38,5.0,1979.0,Панель,6.0,,base+2gis,high
"Алма-атинская, 39",Алма-атинская,39,5.0,1970.0,Панель,6.0,,base+2gis,high
