полный_адрес;улица;номер_дома;год_постройки;этажность;материал_стен;планировка
1-й Проезд Шмидта, 3;1-й Проезд Шмидта;3;1974;2;к;
1-й Проезд Шмидта, 3а;1-й Проезд Шмидта;3а;;2;к;
2 к-ный проезд, 2;2 к-ный проезд;2;1971;2;к;
2-я Водосточная, 24;2-я Водосточная;24;1980;2;п;
2-я Водостроительная, 16а;2-я Водостроительная;16а;1982;2;п;
2-я Водостроительная, 24;2-я Водостроительная;24;1980;2;п;
2-я Заречная, 51А;2-я Заречная;51А;;3;к;нов
2-я Заречная, 51а;2-я Заречная;51а;1986;3;к;
2-я Заречная, 54;2-я Заречная;54;1965;3;к;
2-я Заречная, 56;2-я Заречная;56;1996;3;к;
2-я Заречная, 58;2-я Заречная;58;1994;3;к;
2-я Новаторная, 10А;2-я Новаторная;10А;2024;5;к;
2-я Новаторная, 10а;2-я Новаторная;10а;2024;5;к;
2-я Новаторная, 2а;2-я Новаторная;2а;2023;5;к;
2-я Первомай-я, 2;2-я Первомай-я;2;1956;2;ш/б;
2-я Первомай-я, 3;2-я Первомай-я;3;1956;2;ш/б;
2-я Первомай-я, 5;2-я Первомай-я;5;1956;2;ш/б;
2-я Первомай-я, 7;2-я Первомай-я;7;1957;2;с/щ;
2Первомайская, 1;2Первомайская;1;1956;2;ш/б;
3 к-ный пр, 14;3 к-ный пр;14;1962;2;к;
3 к-ный пр, 4;3 к-ный пр;4;1962;2;к;
3-й Кирпичный Проезд, 6;3-й Кирпичный Проезд;6;1961;2;;
3-й Кирпичный проезд, 6;3-й Кирпичный проезд;6;1961;2;;ст
3-й Проезд Кирпичный, 4;3-й Проезд Кирпичный;4;;2;к;
314 с.див., 7;314 с.див.;7;1976;5;к;
314 с.дивиз., 64;314 с.дивиз.;64;1983;5;п;
314-й Стрелковой Дивизии, 64;314-й Стрелковой Дивизии;64;1989;5;п;
314-я Стрелковая Дивизия, 142;314-я Стрелковая Дивизия;142;1968;4;к;
314-я Стрелковая Дивизия, 64;314-я Стрелковая Дивизия;64;1989;5;п;
314-я Стрелковая Дивизия, 67;314-я Стрелковая Дивизия;67;1989;5;п;
314-я Стрелковая Дивизия, 7;314-я Стрелковая Дивизия;7;1976;5;к;
315 с.дивиз., 107;315 с.дивиз.;107;1950;2;к;
316 с.дивиз., 138;316 с.дивиз.;138;1970;5;к;
317 с.дивиз., 142;317 с.дивиз.;142;1969;5;к;
318 с.дивиз., 150;318 с.дивиз.;150;1986;5;к;
4 к-ный пр, 16;4 к-ный пр;16;1976;1;к/з;
4 к-ный пр, 6;4 к-ный пр;6;1962;2;к;
4 линия, 14/1;4 линия;14/1;2023;5;к;
4-я Линия, 1;4-я Линия;1;1975;5;п;
4-я Линия, 14;4-я Линия;14;2023;5;к;
4-я Линия, 16;4-я Линия;16;1982;5;п;
4-я Линия, 1а;4-я Линия;1а;1975;5;п;улучш
5-й Проезд Сенной, 18е;5-й Проезд Сенной;18е;2018;5;п;
5-й Проезд Сенной, 20;5-й Проезд Сенной;20;2021;5;п;
5-я Сенная, 18;5-я Сенная;18;2023;5;п;
5-я Сенная, 18а;5-я Сенная;18а;;5;п;
5-я Сенная, 18е;5-я Сенная;18е;2017;5;п;
5-я Сенная, 18к;5-я Сенная;18к;2019;5;п;
5-я Сенная, 18л;5-я Сенная;18л;2017;5;п;
5-я Сенная, 20;5-я Сенная;20;2020;5;п;
Абая, 102;Абая;102;1980;5;п;нов
Абая, 120;Абая;120;1979;5;п;
Абая, 120 а;Абая;120 а;1979;5;п;нов
Абая, 120А;Абая;120А;1980;5;п;нов
Абая, 120а;Абая;120а;1980;5;п;нов
Абая, 25;Абая;25;1982;5;к;
Абая, 30;Абая;30;1984;9;п;
Абая, 31;Абая;31;1979;5;п;
Абая, 33;Абая;33;1975;5;п;
Абая, 34;Абая;34;1982;5;п;
Абая, 35;Абая;35;1975;5;п;
Абая, 40;Абая;40;1980;5;п;нов
Абая, 43;Абая;43;1972;5;п;ул
Абая, 45;Абая;45;1972;5;п;ул
Абая, 47;Абая;47;1973;5;п;
Абая, 49;Абая;49;1973;5;п;
Абая, 51;Абая;51;1973;5;п;
Абая, 53;Абая;53;1981;5;п;ул
Абая, 57;Абая;57;1975;5;к;
Абая, 59;Абая;59;1987;9;п;нов
Абая, 61;Абая;61;1975;5;п;
Абая, 62;Абая;62;1977;5;п;
Абая, 63;Абая;63;1979;5;п;ул
Абая, 65;Абая;65;1988;5;к;
Абая, 66;Абая;66;1974;5;п;
Абая, 67;Абая;67;1978;5;п;ул
Абая, 68;Абая;68;1974;5;п;
Абая, 69;Абая;69;1965;5;п;
Абая, 70;Абая;70;1975;5;п;
Абая, 71;Абая;71;1993;6;к;
Абая, 81;Абая;81;1988;9;п;
Абая, 82;Абая;82;;4;к;
Абая, 84;Абая;84;1974;5;п;
Абая, 86;Абая;86;1973;5;к;ул
Абая, 88;Абая;88;1971;5;п;ул
Абая, 90;Абая;90;1975;5;п;
Абая, 94;Абая;94;1976;5;п;
Абая, 96;Абая;96;1975;5;п;
Абая, 98;Абая;98;1978;5;п;нов
Айыртауская, 1;Айыртауская;1;1971;5;к;
Айыртауская, 10;Айыртауская;10;2006;9;к;
Айыртауская, 13;Айыртауская;13;1967;5;к;ул
Айыртауская, 17;Айыртауская;17;2007;9;к;нов
Айыртауская, 2;Айыртауская;2;;;;
Айыртауская, 3;Айыртауская;3;1968;5;п;
Айыртауская, 4;Айыртауская;4;1958;2;к;
Айыртауская, 5;Айыртауская;5;;;;
Айыртауская, 6;Айыртауская;6;;;;
Айыртауская, 7;Айыртауская;7;;;;
Айыртауская, 8;Айыртауская;8;1960;4;к;ст
Айыртауская, 9;Айыртауская;9;;;;
Алма-Атинская, 13;Алма-Атинская;13;1985;9;п;
Алматинская, 11;Алматинская;11;1976;5;п;
Алматинская, 13;Алматинская;13;1985;9;п;нов
Алматинская, 28;Алматинская;28;1969;5;п;
Алматинская, 36;Алматинская;36;1989;2;к;
Алматинская, 38;Алматинская;38;1979;5;п;
Алматинская, 39;Алматинская;39;1970;5;п;ул
Алматинская, 50;Алматинская;50;1999;4;к;
Алматинская, 6;Алматинская;6;1980;5;п;
Алматинская, 9;Алматинская;9;1978;5;п;ул
Алтын Дала, 11а;Алтын Дала;11а;2023;3;к;
Алтынсарина, 155;Алтынсарина;155;1975;5;п;
Алтынсарина, 161;Алтынсарина;161;1966;5;п;
Алтынсарина, 165;Алтынсарина;165;1984;5;п;ул
Алтынсарина, 172;Алтынсарина;172;1966;4;к;ст
Алтынсарина, 188;Алтынсарина;188;1977;5;п;
Алтынсарина, 194;Алтынсарина;194;1978;5;п;
Алтынсарина, 194/1;Алтынсарина;194/1;2021;7;к;
Алтынсарина, 200;Алтынсарина;200;1985;5;п;ул
Алтынсарина, 201;Алтынсарина;201;1918;2;к/з;
Алтынсарина, 205;Алтынсарина;205;;2;;
Алтынсарина, 21;Алтынсарина;21;2023;17;п;
Алтынсарина, 212;Алтынсарина;212;1990;5;п;
Алтынсарина, 213;Алтынсарина;213;1918;1;к/з;
Алтынсарина, 215;Алтынсарина;215;1918;1;к/з;
Алтынсарина, 216;Алтынсарина;216;1992;6;к;нов
Алтынсарина, 217;Алтынсарина;217;1918;1;д;
